COMPANY_ID (Custom SQL Query5),COMPANY_ID,COMPANY_NAME,CPU,GPU,INCHES,MEMORY,Number of Records,OS_ID (Custom SQL Query4),OS_ID,OS_NAME,POPULARITY_NUMBER,PRICE_IN_EUROS,PRICE_IN_RUPEES,PRODUCT_ID (Custom SQL Query1),PRODUCT_ID,PRODUCT_NAME,RAM_ID (Custom SQL Query2),RAM_ID,RAM_NAME,RATINGS,SCREENRESOLUTION,TYPE_NAME,TYPE_NAME_ID (Custom SQL Query3),TYPE_NAME_ID,WEIGHT_IN_GM
CO16,CO16,Lenovo,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,1,1034,81923.82,PRO1121,PRO1121,Yoga 720-13IKB,RAM5,RAM5,8GB,3,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1300gms
CO16,CO16,Lenovo,Intel Core i7 7700HQ 2.8GHz,Intel HD Graphics 630,16,256GB SSD,1,OS4,OS4,Windows 10,3,1299,102919.77,PRO1123,PRO1123,Yoga 720-15IKB,RAM5,RAM5,8GB,1,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,2000gms
CO16,CO16,Lenovo,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050M,15,512GB SSD,1,OS4,OS4,Windows 10,2,1699,134611.77,PRO1124,PRO1124,Yoga 720-15IKB,RAM5,RAM5,8GB,1,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,2000gms
CO16,CO16,Lenovo,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13,512GB SSD,1,OS4,OS4,Windows 10,1,1499,118765.77,PRO1125,PRO1125,Yoga 730,RAM5,RAM5,8GB,4,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1190gms
CO16,CO16,Lenovo,Intel Core i5 6260U 1.8GHz,Intel HD Graphics 540,13,256GB SSD,1,OS4,OS4,Windows 10,3,1199,94996.77,PRO1126,PRO1126,Yoga 900-13ISK,RAM5,RAM5,8GB,5,IPS Panel Quad HD+ / Touchscreen 3200x1800,2 in 1 Convertible,TYP1,TYP1,1300gms
CO16,CO16,Lenovo,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,256GB SSD,1,OS4,OS4,Windows 10,2,1349,106881.27,PRO1131,PRO1131,Yoga 910-13IKB,RAM5,RAM5,8GB,4,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1380gms
CO16,CO16,Lenovo,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,14,256GB SSD,1,OS4,OS4,Windows 10,1,1599,126688.77,PRO1133,PRO1133,Yoga 920-13IKB,RAM5,RAM5,8GB,3,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1400gms
CO16,CO16,Lenovo,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13,512GB SSD,1,OS4,OS4,Windows 10,3,1849,146496.27,PRO1134,PRO1134,Yoga 920-13IKB,RAM5,RAM5,8GB,5,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1370gms
CO15,CO15,Asus,Intel Core i5 8250U 1.6GHz,Intel HD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,3,1315,104187.45,PRO1152,PRO1152,ZenBook Flip,RAM5,RAM5,8GB,3,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1100gms
CO15,CO15,Asus,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13,512GB SSD +  512GB SSD,1,OS4,OS4,Windows 10,3,1499,118765.77,PRO1154,PRO1154,ZenBook Flip,RAM5,RAM5,8GB,4,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1100gms
CO15,CO15,Asus,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,3,928,73525.44,PRO1155,PRO1155,ZenBook Flip,RAM5,RAM5,8GB,3,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1270gms
CO15,CO15,Asus,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,3,1358,107594.34,PRO1156,PRO1156,ZenBook Flip,RAM5,RAM5,8GB,3,Touchscreen / Full HD 1920x1080,2 in 1 Convertible,TYP1,TYP1,1100gms
CO7,CO7,Acer,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,13,256GB SSD,1,OS4,OS4,Windows 10,1,689,54589.47,PRO147,PRO147,Aspire R7,RAM5,RAM5,8GB,5,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1600gms
CO7,CO7,Acer,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,13,256GB SSD,1,OS4,OS4,Windows 10,3,789.01,62513.26,PRO148,PRO148,Aspire R7,RAM5,RAM5,8GB,1,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1600gms
CO19,CO19,HP,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,2,2277,180406.71,PRO220,PRO220,EliteBook x360,RAM5,RAM5,8GB,2,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1280gms
CO19,CO19,HP,Intel Core i7 7600U 2.8GHz,Intel HD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,3,2559,202749.57,PRO221,PRO221,EliteBook x360,RAM5,RAM5,8GB,3,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1280gms
CO16,CO16,Lenovo,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,14,256GB SSD,1,OS4,OS4,Windows 10,3,999,79150.77,PRO256,PRO256,Flex 5,RAM5,RAM5,8GB,2,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1700gms
CO18,CO18,Dell,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,13,256GB SSD,1,OS4,OS4,Windows 10,3,798.01,63226.33,PRO438,PRO438,Inspiron 5368,RAM5,RAM5,8GB,4,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1620gms
CO18,CO18,Dell,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,2,889,70435.47,PRO442,PRO442,Inspiron 5378,RAM5,RAM5,8GB,3,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1680gms
CO18,CO18,Dell,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13,1TB HDD,1,OS4,OS4,Windows 10,2,659,52212.57,PRO443,PRO443,Inspiron 5379,RAM5,RAM5,8GB,4,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1550gms
CO18,CO18,Dell,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,1,819,64889.37,PRO444,PRO444,Inspiron 5379,RAM5,RAM5,8GB,5,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1620gms
CO18,CO18,Dell,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,1,869.01,68851.66,PRO445,PRO445,Inspiron 5379,RAM5,RAM5,8GB,1,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1620gms
CO18,CO18,Dell,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13,1TB HDD,1,OS4,OS4,Windows 10,1,839,66473.97,PRO447,PRO447,Inspiron 5379,RAM5,RAM5,8GB,5,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1620gms
CO18,CO18,Dell,Intel Core i5 7200U 2.7GHz,Intel HD Graphics 620,16,256GB SSD,1,OS4,OS4,Windows 10,3,1094,86677.62,PRO473,PRO473,Inspiron 5578,RAM5,RAM5,8GB,5,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,2300gms
CO18,CO18,Dell,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,15,256GB SSD,1,OS4,OS4,Windows 10,2,799,63304.77,PRO474,PRO474,Inspiron 5579,RAM5,RAM5,8GB,2,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,2670gms
CO18,CO18,Dell,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,15,256GB SSD,1,OS4,OS4,Windows 10,3,1049,83112.27,PRO475,PRO475,Inspiron 5579,RAM5,RAM5,8GB,5,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1560gms
CO18,CO18,Dell,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,15,1TB HDD,1,OS4,OS4,Windows 10,2,819,64889.37,PRO477,PRO477,Inspiron 5579,RAM5,RAM5,8GB,5,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,2080gms
CO18,CO18,Dell,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,2,1199,94996.77,PRO483,PRO483,Inspiron 7378,RAM5,RAM5,8GB,4,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1600gms
CO18,CO18,Dell,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,16,256GB SSD,1,OS4,OS4,Windows 10,1,999,79150.77,PRO506,PRO506,Inspiron 7579,RAM5,RAM5,8GB,2,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,2191gms
CO18,CO18,Dell,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,3,1670,132314.1,PRO531,PRO531,Latitude 5289,RAM5,RAM5,8GB,3,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1340gms
CO19,CO19,HP,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,1,836.6,66283.82,PRO650,PRO650,Pavilion X360,RAM5,RAM5,8GB,3,IPS Panel Touchscreen 1366x768,2 in 1 Convertible,TYP1,TYP1,1580gms
CO7,CO7,Acer,Intel Core i7 7Y75 1.3GHz,Intel HD Graphics 615,14,256GB SSD,1,OS4,OS4,Windows 10,1,1149,91035.27,PRO802,PRO802,SP714-51 (i7-7Y75/8GB/256GB/FHD/W10),RAM5,RAM5,8GB,4,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1200gms
CO19,CO19,HP,Intel Core i5 6300U 2.4GHz,Intel HD Graphics 520,13,256GB SSD,1,OS4,OS4,Windows 10,3,1629,129065.67,PRO820,PRO820,Spectre Pro,RAM5,RAM5,8GB,1,Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1480gms
CO19,CO19,HP,Intel Core i7 6600U 2.6GHz,Intel HD Graphics 520,13,256GB SSD,1,OS4,OS4,Windows 10,2,1799,142534.77,PRO823,PRO823,Spectre Pro,RAM5,RAM5,8GB,3,Touchscreen 2560x1440,2 in 1 Convertible,TYP1,TYP1,1480gms
CO19,CO19,HP,Intel Core i7 6600U 2.6GHz,Intel HD Graphics 520,13,512GB SSD,1,OS4,OS4,Windows 10,2,2041,161708.43,PRO824,PRO824,Spectre Pro,RAM5,RAM5,8GB,1,Touchscreen 2560x1440,2 in 1 Convertible,TYP1,TYP1,1480gms
CO19,CO19,HP,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,1,1499,118765.77,PRO826,PRO826,Spectre x360,RAM5,RAM5,8GB,2,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,2 in 1 Convertible,TYP1,TYP1,1290gms
CO19,CO19,HP,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13,512GB SSD,1,OS4,OS4,Windows 10,2,1999,158380.77,PRO828,PRO828,Spectre x360,RAM5,RAM5,8GB,4,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,2 in 1 Convertible,TYP1,TYP1,1290gms
CO19,CO19,HP,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,3,1398.99,110841.98,PRO830,PRO830,Spectre x360,RAM5,RAM5,8GB,2,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1260gms
CO7,CO7,Acer,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,2,999,79150.77,PRO832,PRO832,Spin 5,RAM5,RAM5,8GB,4,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1600gms
CO15,CO15,Asus,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 520,16,1TB HDD,1,OS4,OS4,Windows 10,2,739,58550.97,PRO851,PRO851,TP501UA-CJ131T (i5-7200U/8GB/1TB/W10),RAM5,RAM5,8GB,1,Touchscreen 1366x768,2 in 1 Convertible,TYP1,TYP1,2200gms
CO16,CO16,Lenovo,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,14,256GB SSD,1,OS4,OS4,Windows 10,1,1637,129699.51,PRO914,PRO914,ThinkPad X1,RAM5,RAM5,8GB,3,IPS Panel Touchscreen 2560x1440,2 in 1 Convertible,TYP1,TYP1,1360gms
CO16,CO16,Lenovo,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,14,256GB SSD,1,OS4,OS4,Windows 10,1,2330,184605.9,PRO915,PRO915,ThinkPad X1,RAM5,RAM5,8GB,2,IPS Panel Touchscreen 2560x1440,2 in 1 Convertible,TYP1,TYP1,1420gms
CO16,CO16,Lenovo,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,14,256GB SSD,1,OS4,OS4,Windows 10,1,2339,185318.97,PRO916,PRO916,ThinkPad X1,RAM5,RAM5,8GB,1,IPS Panel Touchscreen 2560x1440,2 in 1 Convertible,TYP1,TYP1,1270gms
CO16,CO16,Lenovo,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,256GB SSD,1,OS4,OS4,Windows 10,1,2590,205205.7,PRO919,PRO919,ThinkPad X1,RAM5,RAM5,8GB,2,Touchscreen 2560x1440,2 in 1 Convertible,TYP1,TYP1,1420gms
CO16,CO16,Lenovo,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,1,1399,110842.77,PRO923,PRO923,ThinkPad Yoga,RAM5,RAM5,8GB,4,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1370gms
CO16,CO16,Lenovo,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13,512GB SSD,1,OS4,OS4,Windows 10,1,1825,144594.75,PRO924,PRO924,ThinkPad Yoga,RAM5,RAM5,8GB,4,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1370gms
CO16,CO16,Lenovo,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,14,256GB SSD,1,OS4,OS4,Windows 10,3,1669,132234.87,PRO926,PRO926,ThinkPad Yoga,RAM5,RAM5,8GB,5,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1800gms
CO16,CO16,Lenovo,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,2,1950,154498.5,PRO927,PRO927,ThinkPad Yoga,RAM5,RAM5,8GB,2,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1370gms
CO16,CO16,Lenovo,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,13,512GB SSD,1,OS4,OS4,Windows 10,2,1970,156083.1,PRO928,PRO928,ThinkPad Yoga,RAM5,RAM5,8GB,1,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1370gms
CO16,CO16,Lenovo,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,13,256GB SSD,1,OS4,OS4,Windows 10,3,1757.42,139240.39,PRO963,PRO963,Thinkpad Yoga,RAM5,RAM5,8GB,3,IPS Panel Full HD / Touchscreen 1920x1080,2 in 1 Convertible,TYP1,TYP1,1370gms
CO16,CO16,Lenovo,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,15,256GB SSD,1,OS4,OS4,Windows 10,1,739,58550.97,PRO1001,PRO1001,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),RAM5,RAM5,8GB,5,Full HD 1920x1080,Notebook,TYP2,TYP2,2050gms
CO16,CO16,Lenovo,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,15,256GB SSD,1,OS4,OS4,Windows 10,2,880,69722.4,PRO1002,PRO1002,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),RAM5,RAM5,8GB,5,Full HD 1920x1080,Notebook,TYP2,TYP2,2050gms
CO15,CO15,Asus,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,16,1TB HDD,1,OS4,OS4,Windows 10,2,906.62,71831.5,PRO1014,PRO1014,VivoBook Pro,RAM5,RAM5,8GB,1,Full HD 1920x1080,Notebook,TYP2,TYP2,1990gms
CO15,CO15,Asus,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 150MX,17,128GB SSD +  1TB HDD,1,OS4,OS4,Windows 10,1,1145,90718.35,PRO1016,PRO1016,VivoBook Pro,RAM5,RAM5,8GB,5,Full HD 1920x1080,Notebook,TYP2,TYP2,2100gms
CO15,CO15,Asus,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 940MX,15,256GB SSD,1,OS4,OS4,Windows 10,1,1118,88579.14,PRO1020,PRO1020,VivoBook S15,RAM5,RAM5,8GB,3,Full HD 1920x1080,Notebook,TYP2,TYP2,1700gms
CO15,CO15,Asus,Intel Pentium Dual Core N4200 1.1GHz,Intel HD Graphics 505,16,128GB SSD,1,OS4,OS4,Windows 10,2,581.9,46103.94,PRO1024,PRO1024,Vivobook Max,RAM5,RAM5,8GB,2,1920x1080,Notebook,TYP2,TYP2,2000gms
CO15,CO15,Asus,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 920MX ,15,256GB SSD,1,OS4,OS4,Windows 10,2,769,60927.87,PRO1025,PRO1025,Vivobook X541UV-DM1217T,RAM5,RAM5,8GB,2,Full HD 1920x1080,Notebook,TYP2,TYP2,2000gms
CO18,CO18,Dell,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,16,256GB SSD,1,OS4,OS4,Windows 10,3,665,52687.95,PRO1031,PRO1031,Vostro 3568,RAM5,RAM5,8GB,2,1366x768,Notebook,TYP2,TYP2,2000gms
CO18,CO18,Dell,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,16,128GB SSD,1,OS4,OS4,Windows 10,1,713.99,56569.43,PRO1035,PRO1035,Vostro 3568,RAM5,RAM5,8GB,1,1366x768,Notebook,TYP2,TYP2,2180gms
CO18,CO18,Dell,Intel Core i5 7200U 2.5GHz,AMD Radeon R5 M420,16,256GB SSD,1,OS4,OS4,Windows 10,3,789.81,62576.65,PRO1041,PRO1041,Vostro 3568,RAM5,RAM5,8GB,2,Full HD 1920x1080,Notebook,TYP2,TYP2,2180gms
CO18,CO18,Dell,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,16,256GB SSD,1,OS4,OS4,Windows 10,1,750,59422.5,PRO1042,PRO1042,Vostro 3568,RAM5,RAM5,8GB,1,Full HD 1920x1080,Notebook,TYP2,TYP2,2180gms
CO18,CO18,Dell,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,14,256GB SSD,1,OS4,OS4,Windows 10,1,859,68058.57,PRO1046,PRO1046,Vostro 5468,RAM5,RAM5,8GB,3,Full HD 1920x1080,Notebook,TYP2,TYP2,1600gms
CO18,CO18,Dell,Intel Core i3 6006U 2GHz,AMD Radeon R5 M420X,16,256GB SSD,1,OS4,OS4,Windows 10,2,739,58550.97,PRO1048,PRO1048,Vostro 5568,RAM5,RAM5,8GB,2,Full HD 1920x1080,Notebook,TYP2,TYP2,2000gms
CO7,CO7,Acer,AMD A10-Series 9620P 2.5GHz,AMD Radeon RX 540,16,1TB HDD,1,OS4,OS4,Windows 10,1,579,45874.17,PRO105,PRO105,Aspire 5,RAM5,RAM5,8GB,3,1366x768,Notebook,TYP2,TYP2,2200gms
CO18,CO18,Dell,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,16,1TB HDD,1,OS4,OS4,Windows 10,1,836,66236.28,PRO1050,PRO1050,Vostro 5568,RAM5,RAM5,8GB,1,Full HD 1920x1080,Notebook,TYP2,TYP2,2180gms
CO18,CO18,Dell,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,16,256GB SSD,1,OS4,OS4,Windows 10,3,795,62987.85,PRO1051,PRO1051,Vostro 5568,RAM5,RAM5,8GB,3,Full HD 1920x1080,Notebook,TYP2,TYP2,2180gms
CO18,CO18,Dell,Intel Core i7 7500U 2.7GHz,Nvidia GeForce GT 940MX,16,1TB HDD,1,OS4,OS4,Windows 10,1,961,76140.03,PRO1052,PRO1052,Vostro 5568,RAM5,RAM5,8GB,2,Full HD 1920x1080,Notebook,TYP2,TYP2,1980gms
CO18,CO18,Dell,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,16,256GB SSD,1,OS4,OS4,Windows 10,3,1009.9,80014.38,PRO1053,PRO1053,Vostro 5568,RAM5,RAM5,8GB,3,Full HD 1920x1080,Notebook,TYP2,TYP2,2180gms
CO7,CO7,Acer,AMD A12-Series 9720P 2.7GHz,AMD Radeon RX 540,15,256GB SSD,1,OS4,OS4,Windows 10,2,659,52212.57,PRO106,PRO106,Aspire 5,RAM5,RAM5,8GB,5,1366x768,Notebook,TYP2,TYP2,2200gms
CO15,CO15,Asus,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,16,1TB HDD,1,OS4,OS4,Windows 10,1,399,31612.77,PRO1063,PRO1063,X541NA-GO414T (N3350/8GB/1TB/W10),RAM5,RAM5,8GB,2,1366x768,Notebook,TYP2,TYP2,2000gms
CO7,CO7,Acer,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,15,1TB HDD,1,OS4,OS4,Windows 10,1,689,54589.47,PRO108,PRO108,Aspire 5,RAM5,RAM5,8GB,5,Full HD 1920x1080,Notebook,TYP2,TYP2,2200gms
CO18,CO18,Dell,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,16,256GB SSD,1,OS4,OS4,Windows 10,3,1749,138573.27,PRO1106,PRO1106,XPS 15,RAM5,RAM5,8GB,4,4K Ultra HD / Touchscreen 3840x2160,Notebook,TYP2,TYP2,2060gms
CO18,CO18,Dell,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,16,256GB SSD,1,OS4,OS4,Windows 10,2,1820,144198.6,PRO1109,PRO1109,XPS 15,RAM5,RAM5,8GB,4,Full HD 1920x1080,Notebook,TYP2,TYP2,2000gms
CO18,CO18,Dell,Intel Core i5 6300HQ 2.3GHz,Nvidia GeForce 960M,16,256GB SSD,1,OS4,OS4,Windows 10,2,2250.68,178321.38,PRO1111,PRO1111,XPS 15,RAM5,RAM5,8GB,2,IPS Panel Touchscreen / 4K Ultra HD 3840x2160,Notebook,TYP2,TYP2,2040gms
CO19,CO19,HP,Intel Core i5 7200U 2.5GHz,AMD FirePro W4190M ,16,500GB HDD,1,OS4,OS4,Windows 10,2,1154,91431.42,PRO1139,PRO1139,ZBook 15u,RAM5,RAM5,8GB,3,Full HD 1920x1080,Notebook,TYP2,TYP2,1900gms
